rows,cols,countries,individuals,user,system,elapsed,elapsed_latex
1,1,1,30000,3032.5,0.46,3033.51,$\SI{50}{m}~\SI{33}{s}$
1,2,2,30000,1694.02,0.69,847.87,$\SI{14}{m}~\SI{ 7}{s}$
1,3,3,30000,1383.12,56.66,480.23,$\SI{ 8}{m}~\SI{ 0}{s}$
1,4,4,30000,1180.07,39.09,305.48,$\SI{ 5}{m}~\SI{ 5}{s}$
1,5,5,30000,1255.09,216.05,368.64,$\SI{ 6}{m}~\SI{ 8}{s}$
1,6,6,30000,954.0,130.79,271.88,$\SI{ 4}{m}~\SI{31}{s}$
1,7,7,30000,747.0,90.81,210.0,$\SI{ 3}{m}~\SI{30}{s}$
1,8,8,30000,590.89,45.49,159.62,$\SI{ 2}{m}~\SI{39}{s}$
1,9,9,30000,575.74,114.02,173.12,$\SI{ 2}{m}~\SI{53}{s}$
1,10,10,30000,504.26,91.19,149.4,$\SI{ 2}{m}~\SI{29}{s}$
1,11,11,30000,446.06,73.79,130.43,$\SI{ 2}{m}~\SI{10}{s}$
1,12,12,30000,434.24,59.12,123.8,$\SI{ 2}{m}~\SI{ 3}{s}$
1,13,13,30000,397.69,87.63,121.77,$\SI{ 2}{m}~\SI{ 1}{s}$
1,14,14,30000,399.71,95.67,124.34,$\SI{ 2}{m}~\SI{ 4}{s}$
1,15,15,30000,546.43,176.29,181.35,$\SI{ 3}{m}~\SI{ 1}{s}$
1,16,16,30000,386.22,94.33,120.65,$\SI{ 2}{m}~\SI{ 0}{s}$
1,17,17,30000,583.07,240.71,206.75,$\SI{ 3}{m}~\SI{26}{s}$
1,18,18,30000,369.16,122.83,126.52,$\SI{ 2}{m}~\SI{ 6}{s}$
1,19,19,30000,364.52,117.06,121.2,$\SI{ 2}{m}~\SI{ 1}{s}$
1,20,20,30000,321.67,104.49,107.56,$\SI{ 1}{m}~\SI{47}{s}$
